driverId,constructorId,grid,year,points,winner
13,6,1,2006,10.0,1
2,3,7,2005,0.0,0
11,16,20,2005,0.0,0
13,15,18,2005,0.0,0
8,1,10,2005,1.0,0
14,9,5,2005,5.0,0
4,4,13,2005,6.0,0
13,15,14,2005,0.0,0
8,1,6,2005,0.0,0
14,9,8,2005,3.0,0
2,3,10,2005,6.0,0
4,4,1,2005,10.0,1
2,3,4,2005,0.0,0
11,16,13,2005,0.0,0
14,9,14,2005,1.0,0
13,15,12,2005,2.0,0
8,1,9,2005,6.0,0
4,4,1,2005,10.0,1
11,16,6,2005,0.0,0
8,1,1,2005,0.0,0
14,9,14,2005,0.0,0
13,15,18,2005,0.0,0
2,3,8,2005,3.0,0
4,4,2,2005,10.0,1
13,15,10,2005,0.0,0
2,3,17,2005,0.0,0
14,9,9,2005,1.0,0
4,4,3,2005,8.0,0
8,1,1,2005,10.0,1
14,9,7,2005,0.0,0
13,15,11,2005,0.0,0
4,4,2,2005,5.0,0
2,3,6,2005,8.0,0
8,1,1,2005,10.0,1
13,15,11,2005,0.0,0
11,16,16,2005,0.0,0
8,1,2,2005,0.0,0
14,9,12,2005,5.0,0
2,3,1,2005,8.0,0
4,4,6,2005,10.0,1
4,4,3,2005,0.0,0
11,16,6,2005,0.0,0
2,3,13,2005,0.0,0
14,9,12,2005,2.0,0
13,15,11,2005,5.0,0
8,1,7,2005,10.0,1
14,9,16,2005,0.0,0
2,3,15,2005,0.0,0
13,15,10,2005,0.0,0
11,16,8,2005,0.0,0
4,4,6,2005,0.0,0
8,1,2,2005,0.0,0
13,15,9,2005,0.0,0
2,3,14,2005,0.0,0
11,16,4,2005,0.0,0
14,9,15,2005,0.0,0
8,1,13,2005,8.0,0
4,4,1,2005,10.0,1
11,16,7,2005,0.0,0
14,9,13,2005,0.0,0
2,3,14,2005,0.0,0
13,15,16,2005,0.0,0
8,1,12,2005,6.0,0
4,4,1,2005,8.0,0
8,1,1,2005,0.0,0
11,16,8,2005,0.0,0
2,3,7,2005,0.0,0
13,15,13,2005,1.0,0
14,9,11,2005,2.0,0
4,4,3,2005,10.0,1
14,9,13,2005,0.0,0
13,15,14,2005,0.0,0
